error_type,index,primary_mode,all_modes,n_modes,stars,word_count,prob,text
FP,43,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|unpleasant_not_unsafe|strong_negative_sentiment_only,3,1.0,34,,"I would've gave them 1 star if it wasn't required..... Nasty Rewarmed Gritz, Dirty waffle makers...... I'm sick Of'em...... this eatery hasn't been up to par since the first day they opened the doors"
FP,53,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,147,,"When I lived in Chicago, it was de rigeur to pop into a Mexican joint for a quick, easy burrito fix. So this week when I was sick, I got this incredible craving for your basic veggie burrito--beans, rice, lettuce, tomatoes, onions, avocado, that type of thing. I stop into El Arado, thinking it might scratch my itch. Not so. I ordered a basic burrito with avocado and beans and got a small flour tor"
FP,57,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,2.0,177,,Not a fan. I just moved to the area and decided to try eating someplace close to where I live instead of driving downtown. I should have known by the stale smell that hit me in the face when I walked in to turn around but decided to give it the benefit of the doubt since I've read some descent reviews. There was just a husband and wife working and I was the only one there at 6:30 on Friday so the 
FP,61,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,319,,"While I enjoyed the ambiance of The Libertine the 3 stars is mainly for the food. My husband and I went with another couple. To start we ordered the Pull Apart, Elote, and Bacon Flight. Looking past the fancy names, what we got was a small loaf of bread (that should be given as complimentary) with a hint of cheese, corn on the cob rolled in cojita cheese, and bacon in a cup served with superfluous"
FP,64,unexplained_fp,unexplained_fp,1,2.0,356,,Family reunion was held on May 31st thru June 4th 2018 at Shephard's. Gulf front room with a great view and that's about all I could honestly say. There is really not enough light in the room especially for women when wanting to get dressed and apply makeup. There isn't a mirror anywhere other than the bathroom never mind a full length mirror which most women feel is necessary when getting dressed
FP,66,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,388,,"The beautiful wife and I have visited Modesto three times (twice at the bar, once in the dinning room). I just don't know about this place -- I've walked out of there going ""two stars, not going back!"" to well, going back and thinking ""four stars, can't wait to come here again!"" So I'm going with three stars -- there's consistently been enough positives and negatives that they balance out. Here's "
FP,80,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,101,,"This place has a nice atmosphere to it. The service is nice enough. If they get too busy, they'll forget a lot. They were very accommodating and friendly when my friend (who has a nut allergy) sent her waffles back because it had Nutella on the plate. My order of the grits bowl was just ok. The veggies and sausage on top were kind of cold, but it wasn't a bad dish overall. The Belgian Waffles are "
FP,91,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|unpleasant_not_unsafe,2,2.0,339,,"Had lunch there today.... The food was ok. The service was weird. We walk in and wait at the podium, a few minutes later a server walks up and grabs menus and asks us ""how many?"" We say 2 so he turns and walks towards the tables without saying anything. I look at my husband and say ""I guess we're supposed to follow him?"" We sit, the server mumbles what we would like to drink, he brings them, asks "
FP,98,unexplained_fp,unexplained_fp,1,3.0,157,,"So I REALLY like this place, they have great coffee, soy and almond milk, and good food. (I have an allergy that prevents me from eating most of their food - but what I have eaten is great and everyone knows loves it), BUT it is a coffee shop and they take WAY too long to make a drink. I have had to leave here more often than stay and get coffee elsewhere to prevent being late. On more than one oc"
FP,109,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,182,,"Would like to have sat down for a break and enjoyed a nice latte after shopping. I order a latte from a barista who's allergic to smiling but eager to show off her cleavage (really). According to her she cannot serve a latte in a mug because ""we're closing in an hour."" Granted, this may be the most bomb espresso drink since the beginning of time, but it will not take me an hour to drink it. Regard"
FP,119,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,325,,"Beer: Excellent. The only reason to go here. However, you can only get one beer at a time, even if it's a 4 oz. pour. The waitress gave me some baloney excuse about how they don't want the beer to sit out that long. If your beer goes bad that fast, you've got a problem. They also have a card that tells you that you should only order a pint of beer if you're really serious about drinking, and they "
FP,123,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,112,,"Here it is. The famous Imo's Pizza. The pizza, its cheese in particular, is more divisive than the AB-InBev merger. I'm personally a fan of the pizza, and I can prove it by eating an obscene number of slices in one sitting. I've done so at this location more than once because the service is speedy and there's always open tables for you and your guests. If you plan on making a trip, preclear your p"
FP,125,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|unpleasant_not_unsafe|strong_negative_sentiment_only,3,1.0,359,,"Worst food and poorest service I have had in my 6 years in New Orleans. How anyone could eat this drivel is beyond me. Frankly, the only reason I ate any of it is due strictly to hunger. Experiences like this make me glad I live in the city, and not on the West Bank with low quality places like this. Omelettes are not supposed to be a round piece of egg cake, clearly just poured into a pan and coo"
FP,126,neutral_allergen_mention,neutral_allergen_mention,1,3.0,267,,"Upon reading the description of the 'Ziggy burger', (there was no warning of pickles) I ordered it and was disappointed. Here's why: It contained pickles, and I am allergic to white vinegar, since I was so hungry, I pulled the pickles out and ate the burger anyhow. I immediately noticed that the burger's only flavor was in the incredibly messy and watery sauce that they put on it. This sauce was p"
FP,130,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,99,,"Nice starbucks. It has a very large outside seating, but not so much inside. The drinks are made very consistently and tasted exactly the same every single time. However, one thing that bugs me the most is how freezing this place is. They turn the ac up too high and they will never adjust it for you if you ask. I even find myself bringing a sweater or jacket here on summer days. Trust me. It is fr"
FP,135,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,639,,"Wow. Where to start? If you don't know, this hotel is in its own zip code - about the size of the community college I attended. Luckily, I was pre-warned of its labyrinthine layout and sprawling floor plan far in advance by a colleague - who mentioned that she never set foot outside in her week of staying here, because, simply, you don't have to. Bars, restaurants, convention center, shopping, cof"
FP,138,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,119,,"Ate here last night with a few girlfriends who had never been, I was here once prior and if I had to guess I'd say this place is failing ... Food was not good at all, I thought it was just ok a year ago for the record. The other thing that was odd was that no one was there on a Friday night. It was 35 dollars for the Risotto lobster shrimp dish that was basically all risotto and 5 hunks of seafood"
FP,141,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,132,,"When I was in high school (11 through 15 years ago), I used to eat at Gullifty's maybe once a week. In retrospect I have no idea why, especially considering I couldn't even take advantage of the bar. It was probably because at the time I just ate pretty much chicken fingers, burgers, and maybe the occasional sandwich. Having gone more recently, not much has changed. If you're looking for anything "
FP,144,unexplained_fp,unexplained_fp,1,2.0,117,,"Do Not Eat On Bourbon St....advice from the locals I wish we had before we stopped here. Would have maybe been a 3 star since the food and service were alright. Would have been a 1 star if I knew for sure this is where I got food poisoning. I wish I knew for sure, but I either got food poisoning from here or McDonalds...so i can't be positive but we think that gator slider was not prepared correct"
FP,149,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,264,,"The first time we at here, my husband and I declared it to be our favorite Thai in St. Louis (though, that's not saving much considering I've been hard pressed to find anything rivaling even what I've eaten in Oklahoma City). We visited for the second time, though, and will NEVER be returning. When we came in, we waited a FULL five minutes before being seated. Another five passed before our waitre"
FP,151,generic_complaint_no_hazard,generic_complaint_no_hazard,1,2.0,57,,"As a patron with Celiac Disease, I appreciated the option to order the egg scramble. As delicious as it sounded, however, my eggs were cold when they arrived. Yuck. Our server was also not friendly or welcoming. I asked his recommendation of coffee, and he responded with a curt, ""we have coffee... and coffee"". Will not return"
FP,156,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,179,,"Here's the deal. It was a day before Father's day, a Saturday. We were driving back from San Francisco. Sat at the bar with my husband, son, daughter. I was feeling sick so we ordered mostly sushi for my husband and son. The bill was $92.00. When I was paying the bill, the manager says, next time you should ask for the Friday and Saturday EAT ALL U CAN SUSHI and ROLLS. Now you tell me I thought. I"
FP,158,unexplained_fp,unexplained_fp,1,2.0,194,,"Unfortunately I cannot split the rating between food and the service. I was down here for a week and was sick of seafood, decided to grab a burger. Ordered a Bloody Mary , and engine #29 burger. Both were fantastic, bad part is I was out of drink when she brought me my food. And I might note it was a jalapeño burger. Needlesss to say I say there sweating like a pig while she fiddle-farted with som"
FP,166,unexplained_fp,unexplained_fp,1,3.0,32,,Nice big patio that's great for a beer and french fries on a sunny day. There's a hospital a couple blocks away so expect sirens screaming in your ear the whole time.
FP,182,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,1.0,87,,Worst service I've ever had our waiter was very rude saying we can in late when we came in an hour before closing he gave us an attitude the whole time we were there also messed up a few orders. These people discriminate against college students and it's horribly sick. We then reflected his service in his tip which he would have expect because of how rude he was. I highly discourage anyone think b
FP,187,unexplained_fp,unexplained_fp,1,3.0,77,,"A quaint old-style southern restaurant. I had the brownie sundae (sugar coma!) and hubby had a malt. we got there just at closing. a lady was playing a piano and came by our table to ask for song requests. I read that the place used to be a drug store on the ground floor and a hospital on the 2nd floor-built in 1898 (?). It's got charming atmosphere and the desserts are hand made, not shipped in."
FP,202,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,198,,While visiting Florida my mom treated us to a mani/pedi service at this spa. When she booked the service on the phone she was never told that any service gets you use of the facility on the property or that there will be an additional 18%tax on top of the nail service BECAUSE of facility use. The total for 2 mani/pedi's plus tip cost $250.00 (WHAT). My moms French manicure started to peel off in l
FP,214,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,131,,"Completely goes off viral marketing via drunken stories and the use of the word wiener in an inappropriate manner. One of those things you do when you have been drinking way too much and suddenly decided that eating out of a hot dog cart off Bourbon St. is a great idea. Probably a good place for a quick bite when you are just sick of pizza by the slice. Nothing special in my opinion. But, it is qu"
FP,229,hypothetical_or_speculative,hypothetical_or_speculative|illness_mentioned_not_caused_here|unpleasant_not_unsafe|strong_negative_sentiment_only,4,1.0,46,,"One star is generous. Awful, rude ""service"". Disgusting floors. Dirty tables. Ineffective, apathetic, rude manager. We never even got food and I'm glad because by the looks of the place, chances are you're bound to get sick. Metro Diner, just down 86th is fantastic. Go there."
FP,235,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,45,,I ordered the hangover and no where on the menu does it say anything about onion I got the sandwich and it was full of onions I'm highly allergic that's something you might want to put on your menu for people that have food allergies..
FP,242,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,208,,"This used to be one of my favorite places when I came home from college. I've always enjoyed their food, however the service tonight was bad enough that I would not come back and I will no longer recommend it to people. After asking the waiter if he could switch the corn tortillas to a flour tortilla because I am highly allergic to corn, he responded they don't have any flour tortillas. After spot"
FP,250,unpleasant_not_unsafe,unpleasant_not_unsafe|generic_complaint_no_hazard,2,1.0,430,,"This place suffers from all the typical symptoms of a poorly run business. First of all, if your pizza isn't undercooked, it's probably bland as hell. They messed up my order the first time, so I gave them a second change and the service was incredibly bad. Imagine a bunch of high school kids who haven't the foggiest idea of food safety or professionalism what so ever. Here are some clues : 1. You"
FP,258,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,114,,"I had a poor experience. I walked up to the counter and told them that I had a gluten allergy. They questioned making my food ""off the line"". I order a pizza with herb butter, grilled chicken and peppers. I watch the gentleman putting my pizza together grab butter right of the line full and a flour covered area. I had to asked three times for a manager before getting one to help me. The manager in"
FP,265,unpleasant_not_unsafe,unpleasant_not_unsafe|generic_complaint_no_hazard,2,3.0,602,,"I wish there were half stars, because the El dorado's buffet is definitely more of a 3.5 star. Everytime we are in Reno, this is our go to buffet . It's generally very good and consistent. However, this last visit of ours (last weekend) has somewhat changed my mind unfortunately. We ate at the buffet for the Friday night seafood extravaganza and then breakfast on Sunday morning. For both, service "
FP,285,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,205,,"When it comes to food allergies, this establishment is extremely unprofessional and lacking compassion. Our daughter has a severe egg allergy. When inquiring if any items are egg free, three uncertain employee's initial response was ""let's just go with a no."" My wife explained we've eaten here before and our daughter was able to eat some things off the menu. Then, the response was changed to ""you "
FP,287,neutral_allergen_mention,neutral_allergen_mention|illness_mentioned_not_caused_here,2,3.0,167,,"It wasn't great but it wasn't bad. The food was good. I had a ham and cheese griller so you really can't mess that up. My mom had a club and my sister had a wrap. The wrap had honey mustard even though my sister said ""no honey mustard"". But I don't know if I can blame the cook or the waitress. Our waitress wasn't the greatest. She was a little slow and when we asked her what the soup of the day wa"
FP,290,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,61,,"Not impressed, as someone who has food allergies, their disclaimer ""don't bother eating, please only drink"" on the menu, was perceived to me as rude. I eat out a lot, have a nut allergy and have never had problem with restaurants being more than willing to accommodate. I was excited to try the fish tacos...but I guess that won't be happening."
FP,291,hypothetical_or_speculative,hypothetical_or_speculative|illness_mentioned_not_caused_here,2,3.0,140,,"Went to this Applebee's location with my girlfriend on 10/10/14 and it was ok. We ordered the 2 for 20 specials. I got the chicken penne and she got the steak. We both had mozzarella sticks with the order and both enjoyed it. When our food came it was different. I enjoyed my penne but her steak was rare, when she asked for a medium. Not only that but her ""steamed"" broccoli was hard as a rock, howe"
FP,292,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,327,,"This review is based solely on the customer service provided by the owner Joel ... In early March my family was celebrating my son's 3rd birthday and to keep it simple we ordered pizza and wings from Joel's. My husband picked up the food and when he got home, we noticed they forgot all of the wings we ordered (20). I called that evening and the girl on the phone told me she was sorry and I would b"
FP,299,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,411,,"I think this place has a lot of potential, but the food is really hit-or-miss right now. Either it's really interesting and tasty or boring and blah. We've been here twice - once for take out at dinner time and once for lunch. It's important to note that while it's called The Local Taco, these aren't really Tex-Mex or Mex style tacos, they're sort of ""high concept"" tacos, really more like low carb"
FP,305,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,1.0,173,,"I will never buy anything from this business after the way I was treated by their female employee. After walking around the French Market shopping for a few hours in the heat of New Orleans in July sick with a sore throat and head ache, I sat down at their counter for a moment while waiting for my father in law to finish purchasing something from the stand across from them. The worker literally sc"
FP,312,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,1.0,110,,"I come to this Mcdonald's because it's closest to where I live and I always have an awful experience. Today, it took over 15 minutes to get my food after ordering at the drive thru. Then, when they finally brought out the food, it was completely the wrong order. They then brought out the ""correct"" order, which was still the wrong thing. By that time, I was sick of waiting and knew that the chances"
FP,313,unexplained_fp,unexplained_fp,1,2.0,138,,"I stopped in yesterday to ODB's new location after a procedure @ Cottage Hospital. I wasn't allowed to eat a day prior to procedure so I was hungry. Nurse told me ODB is now close by. Oh goodie! When I placed my order ~Cubano sandwich, with wheat&walnut, cranberry bread.....only that (my favorite) bread was not available. iI almost walked out. I should have. It took f o r e v e r to get my sandwic"
FP,321,unexplained_fp,unexplained_fp,1,2.0,152,,"I'm not sure about the 3 1/2 star reviews I found on here. We had Sunday brunch, which wasn't overly impressive, but we went back for dinner because we had Comp points to spend. Dinner was essentially the same menu as brunch. Nothing wowed me, except for the wonderful service. Meat was all pretty dry at the carving station. The selection itself was fairly underwhelming, and it seemed to be more li"
FP,349,neutral_allergen_mention,neutral_allergen_mention|secondhand_or_hearsay|illness_mentioned_not_caused_here|strong_negative_sentiment_only,4,1.0,456,,"OK, I'm going to be Debbie Downer. Awful coffee. Just awful. Maybe that's not fair. I have yet to sample all of their fare, and perhaps it's a bad idea to fit them into the mold that Mugshots (which was gone before I arrived in Manayunk) occupied. But in the end, they call themselves a cafe, which translates into a coffee shop, moved into the location of a former coffee shop and they include baked"
FP,351,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,176,,"I enjoy little burger spots from time so I thought I would give Elevation a try. Granted, the place on a weekend night was mobbed it was almost too packed to find a seat as I waited for my take out burgers. Once I got the burgers home, I was flipp'n angry that the fries and burgers were soaked in oil! what the heck is that about?!? The fries were soggy and the burger was terrible. As for the organ"
FP,354,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,318,,"I originally gave this place four stars and a great review, but that was because I had only experienced this place one time and now I've changed my mind. I just ordered a pizza from Empire and they said they are currently out of cheese and can't make my one pizza. HTF do you run out of cheese at 6 PM when you're a pizza place? I understand there's a Cardinals game on tonight, but management is sup"
FP,355,unexplained_fp,unexplained_fp,1,2.0,61,,"We came here deciding to order some pizzas to go while in Bryn Mawr. It had the best reviews near the hospital so we tried it out. Their specialty pizzas interested us. The dough was hard as a rock. Not what we expected from the ""best pizza."" Don't bother If you want a real pizza with good dough and fresh ingredients."
FP,369,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,135,,"My partner heard they were supposed to be good but this was awful for us. He called ahead to see if they could do no onions, guy on the phone said he could so we went there. Get there and they sit us at a table with a family already eating. Weird but I'll give it a chance. Waitress gives us menus and leaves for a good 10 minutes at least. Comes back and asks what we want. Go to order and she says "
FP,392,neutral_allergen_mention,neutral_allergen_mention|illness_mentioned_not_caused_here,2,2.0,101,,"To be honest, I was disappointed. My dining companion and I both felt the same: ho-hum food, nothing to write home about, and a little overpriced for what it is. I appreciate that they have allergy information on the menu, so I'll give them that, and the atmosphere isn't bad, but when it comes to the food, it's not a place I'd revisit. I had the salmon (which was overcooked and underwhelming), and"
FP,400,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,2.0,231,,"You know there is a problem, when you find yourself writing a Yelp review while still eating your take-out food. I ordered 3 things. My description is as follows: Duck Fried Rice, Medium Spice: Bland. I'm talking...Midwest, old white people bland. If there is a single flake of pepper, I'll find out. I ordered Medium, kind of on a dare to myself...and, I haven't found the spice yet. The duck is lai"
FP,408,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,3.0,140,,"No Wifi. But the air conditioning is works ng overtime. I figured I'd grab a quick salad; got out to lunch late. Although their place is rather quiet, I'm sitting and waiting to order. The pace is a problem at lunchtime when I want to be out of here in 40 minutes. I used to love this location. CoCo and Candace were always on their toes and understood food-allergy requests. They didn't ( obviously)"
FP,410,neutral_allergen_mention,neutral_allergen_mention|illness_mentioned_not_caused_here,2,2.0,208,,"I had heard good things about Sage, so I took my Mom here for lunch when she was in town. She is allergic to gluten and Sage was supposed to be ""Gluten Free Friendly"". The server was clueless and said they didn't actually have a printout of what was gluten free. She went and asked the chef who suggested the grilled chicken wrap on special could be made gluten free. It took 45 minutes to get her no"
FP,415,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,198,,"The food is delicious, but over priced. The service is awful, but....actually, no...that's really all there is to say about the service. It's absolutely horrendous. Working nearby, there aren't all that many options for a decent meal in walking distance. Bridgewater's is a last resort type of place for us, for when we are absolutely sick of everything else. More so, we need to make sure that we do"
FP,427,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,77,,"The vibe and food was exactly what we were looking for with two kids -- 1970s style, decent Italian food with a kids menu. The service was atrocious. Without exaggeration, over two hours to get food when we had kids at the table, and the waiter looked like a deer in headlights. It. Yay have been an off night for them -- maybe some folks called out sick? Based on this experience I would not go back"
FP,432,negated_hazard,negated_hazard,1,3.0,377,,"I liked my food, but it was nothing too special and of course I'm going to tell you why! They have these crackers with seeds (as I like to call them, they're actually lavash), garlic scented cheese whiz (I honestly think this is what it is, pressed into a little cup), and butter waiting for you at the table when you arrive. I actually like that part b/c I like to eat before I eat. I always seem to"
FP,458,unpleasant_not_unsafe,unpleasant_not_unsafe|strong_negative_sentiment_only,2,2.0,53,,Pretty gross. Waitress was dull and indifferent. It took her forever to bring us our food and the place was dead. Maybe cause she was chatting with people instead of checking on our food. Then the food came and it was disgusting and soggy looking. It makes me sick just thinking about it.
FP,463,unexplained_fp,unexplained_fp,1,2.0,129,,"This place has a very good chicken cheesesteak wrap, but if you are delivering be cautious of the roof delivery guy. I've had two encounters with the same guy and he is rude. The first time he was impatient, when I work at a hospital and was trying to meet him in the lobby. The second time he shoved the bag in my had since I told him to come inside instead of me going outside for the food . That i"
FP,493,negated_hazard,negated_hazard|hypothetical_or_speculative|illness_mentioned_not_caused_here,3,1.0,105,,"Maybe the pizza is good? Had delivery of classic lasagna, where's the meat? Marsala was the second dish and never saw anything so small! Ordered the Italian wedding soup. NOT ANY meat in two bowls. The meals arrived COLD after a 45 minute eta and it actually arrived eighty minutes after ordering. This is the first time I've ever given a bad review but feel like $35 including tip was extremely high"
FP,496,negated_hazard,negated_hazard|hypothetical_or_speculative|illness_mentioned_not_caused_here|strong_negative_sentiment_only,4,2.0,109,,"I can probably eat sushi everyday and never get sick of it, but I don't cus I'll probably get sick from mercury poisoning and it aint cheap, man. Here, the only thing cheap is the quality of the food. I mean, I get the concept of the fast-food sushi place, but at least be fair and match your prices to the quality. Sashimi is expectedly not fresh. Even the veggies in my salmon bowl were a mushy mes"
FP,508,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,3.0,41,,Nashville just doesn't have good sushi but this is ok. They accommodate my daughter's fish allergy. Very friendly and quick service. Parking can be a pain but we try to avoid peak times. I recommend yum yum and the veggie rolls.
FP,519,unexplained_fp,unexplained_fp,1,2.0,150,,"The view was good (and similar to one I had just seen from a hospital room), the food was good (restaurant week portions) but be careful with the service....the reservation requires a deposit which is kinda unusual but the worse part was our waiter decided to double his tip. We had a gift card and told him to give himself a $40 tip but he decided to process it as $80 and then we were given the bal"
FP,524,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,71,,Are there better burger joints in Philadelphia? Yes there are. One good item is that they have REAL SODA - and not that high fructose corn syrup crap that turns you into a fat whale. Warning - hipsters flock here so if you are allergic to flannel and to irony then avoid it at all costs. Also the music is too loud. Do you really need to play Slayer that loud?
FP,526,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|unpleasant_not_unsafe|strong_negative_sentiment_only,3,2.0,35,,Nothing special. Average. Food is plain and boring. Decent atmosphere. The staff is mostly teenagers. Had a salad and the French onion soup was disgusting. I'm sick to my stomach leaving. Over priced diner food.
FP,532,unexplained_fp,unexplained_fp,1,1.0,164,,I am in the hospital and wanted chinese food delivered. First thing I asked was if they would deliver to a hospital. I explained that the driver would need to come up to the room since no one was available to meet them downstairs. The driver left the food with a random guy whom she claims was a security guard. She put him on the phone to verify I ordered chinese food and left. My order was placed 
FP,539,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,2.0,237,,"Let's start by saying I normally love Ruth's Chris. I've used to live in Baltimore and must have gone to that one more than 20 times. We moved to Philly last year and my wife decided to surprise me for my birthday and take me there. Unfortunately, they sat us right near the bathroom on what must be the smallest table in the house. We tried to get over it and enjoy our meal. Unfortunately, our wait"
FP,551,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here,1,1.0,191,,We went on a Saturday night with a group of 40 that had reservations several days ahead of time. We went with a group of gymnasistcs competitors and parents. We were seated in a our own banquet room at about 645. The gymnasistcs team was served their food at 7 as they had previously ordered in advance. There was a table of 12 of us that didn't order until after 8 and got our food after nine. The p
FP,553,unexplained_fp,unexplained_fp,1,2.0,265,,"I went here over the weekend with my family. I do not consider myself a picky eater, but there was nothing particular that stood out to me on the main menu. I ended up getting two appetizers as my meal. I got the Duck Eggrolls and the Scallops. I wasn't a fan of the duck rolls since the goat cheese really overpowered the flavor of the duck. The scallops were cooked perfectly, but I was left feelin"
FP,559,negated_hazard,negated_hazard|illness_mentioned_not_caused_here,2,3.0,111,,"GREAT IDEA, not the best execution. Sushi is mediocre. I am NOT saying you will get sick, it's just not ""flavor explosion"" amazing ""art"" that you would expect from sushi that costs this much. I sat and waited and waited and waited (waiter came by a FEW times) and waited some more before I found something that really sparked my interest. Unfortunately, other people felt the same way and nabbed my d"
FP,567,illness_mentioned_not_caused_here,illness_mentioned_not_caused_here|strong_negative_sentiment_only,2,3.0,54,,I love the low carb bagels. I just ordered $60.00 worth of them! Postage is outrageous! But now I read that it's a scam. The low carb bread products are very much high carb. What is this! I feel sick about it. I read it from the Diet Dr. and someone else. What gives?
FP,585,negated_hazard,negated_hazard,1,1.0,60,,We are here for lunch and the food was no better the hospital food. My husband got the fish and it was thin and very dry. I got the a dinner That was bad as well! They were kind enough to take the price of my husbands meal off the ticket. For that I give the people a 4 star.
